1.00,-0.08,0.09,-0.35,0.02,0.03,-0.25,-0.21,-0.21,-0.08,-0.11,-0.06,0.25,-0.14,0.11,-0.12,-0.06,-0.01,-0.09,0.00,-0.14,-0.24,0.07,-0.03,0.03,0.04,0.05,0.01,-0.06,-0.16,-0.29,-0.27,-0.28
-0.08,1.00,-0.04,0.03,0.10,0.06,0.12,0.08,0.15,0.08,0.01,-0.04,0.04,-0.21,0.07,-0.11,-0.13,0.08,0.12,-0.04,-0.06,0.07,-0.11,0.08,0.15,0.06,0.28,0.32,0.14,0.02,-0.10,-0.10,-0.13
0.09,-0.04,1.00,-0.03,-0.00,-0.01,-0.11,-0.12,-0.07,-0.05,-0.03,0.27,0.03,-0.01,0.32,-0.17,-0.10,-0.01,-0.05,-0.02,-0.27,0.01,0.18,-0.02,-0.00,0.11,0.13,0.09,-0.01,0.15,-0.17,-0.11,-0.11
-0.35,0.03,-0.03,1.00,0.05,-0.09,0.19,0.14,0.16,-0.01,-0.00,-0.02,-0.34,0.06,-0.06,0.02,0.01,-0.03,-0.01,0.02,0.08,0.18,-0.03,-0.03,-0.04,0.02,-0.05,-0.01,0.00,0.07,0.16,0.15,0.17
0.02,0.10,-0.00,0.05,1.00,-0.24,-0.01,-0.04,0.02,-0.06,0.03,0.00,0.01,-0.01,-0.07,-0.06,-0.04,-0.05,-0.01,0.10,0.00,0.01,-0.03,0.00,-0.02,-0.00,0.06,0.08,0.00,0.00,0.05,0.04,0.05
0.03,0.06,-0.01,-0.09,-0.24,1.00,-0.06,-0.03,-0.03,0.05,-0.03,-0.17,0.04,-0.01,-0.01,-0.01,0.01,0.02,0.10,-0.03,0.02,0.06,-0.05,0.05,0.04,0.03,0.04,0.07,0.01,-0.12,0.02,0.02,-0.00
-0.25,0.12,-0.11,0.19,-0.01,-0.06,1.00,0.65,0.46,0.15,0.13,-0.01,-0.27,0.10,-0.17,-0.02,0.12,0.11,0.12,0.13,0.21,0.27,-0.03,0.02,-0.02,0.01,-0.01,-0.02,0.00,-0.01,0.26,0.26,0.24
-0.21,0.08,-0.12,0.14,-0.04,-0.03,0.65,1.00,0.29,0.21,0.08,-0.10,-0.21,0.05,-0.17,0.02,0.14,0.09,0.08,0.07,0.19,0.18,-0.07,0.02,0.01,0.03,0.00,0.04,0.04,0.03,0.22,0.23,0.21
-0.21,0.15,-0.07,0.16,0.02,-0.03,0.46,0.29,1.00,0.20,0.06,0.01,-0.16,0.06,-0.12,0.01,0.04,0.01,0.10,0.04,0.15,0.26,-0.07,0.03,0.05,0.00,0.05,0.03,0.08,0.03,0.18,0.15,0.15
-0.08,0.08,-0.05,-0.01,-0.06,0.05,0.15,0.21,0.20,1.00,0.04,-0.08,0.00,-0.02,-0.06,-0.01,-0.04,-0.02,0.02,-0.05,0.09,0.09,-0.00,0.04,-0.04,-0.03,0.06,0.04,-0.03,-0.05,0.11,0.09,0.05
